category,ProductFamily,nid,WebsitePosition,ProductId,Model,Price,Frame,Fork,Rims,Hubs,Spokes,Tires,Pedals,Crank,BottomBracket,Chain,RearCogs,FrontDerailleur,RearDerailleur,Shifters,Handlebar,Grips,Stem,Headset,Brakes,BrakeLevers,Saddle,Seatpost,Sizes,Weight,RearShock,CrankOption,Extras,Display,Battery,Charger,DriveUnit
Road,Endurance Road,d785e3b8-7c0e-4145-9713-6023539b88fa,1,a92d2b4e-2888-4564-98b8-387e94316cdd,Synapse Hi-Mod Disc Dura-Ace Di2,"$10,500","Synapse Disc Asymmetric, BallisTec Hi-MOD Carbon, Di2 ready, SAVE, BB30a, flat mount, 12mm thru axle","Synapse Disc Asymmetric, BallisTec  Hi-MOD Carbon, SAVE, integrated crown race, 12x100mm thru-axle,size-specific design - 44-48: 1 1/8"" steerer, 60mm rake 51-54: 1-1/8"" - 1-1/4"" tapered steerer, 55mm rake 56-61: 1-1/8"" - 1-3/8"" tapered steerer, 45mm rake","Cannondale HollowGram SL, Carbon Clincher Disc, 35mm deep, 19mm inner width, tubeless ready","Cannondale HollowGram Sealed Bearing, straight pull, 12x100 front, 12x142 rear w/ DT Swiss internals",DT Swiss Aerolite,"Vittoria Corsa, 700 x 28c",Not Included,"Cannondale HollowGram SiSL2, BB30a w/ power2max NG Eco Power Meter  - Pre-Installed, Not Activated and FSA rings, 50/34",Cannondale Alloy PressFit30,"Shimano HG901, 11-speed","Shimano Dura-Ace, 11-30, 11-speed","Shimano Dura-Ace Di2, braze-on",Shimano Dura-Ace Di2,"Shimano Dura-Ace Di2 hydro disc, 2x11",Cannondale Escape Hanger Carbon,"Cannondale Grip Bar Tape w/Gel, 3.5mm","Cannondale C1 Ultralight, 7050 Alloy, 31.8, 7-degree, Integrated Garmin mount","Synapse Si, 25mm Carbon top cap","Shimano Dura-Ace hydro disc, 160/140mm RT800 rotors",Shimano Dura-Ace Di2 hydro disc,"Fabric Scoop Shallow Pro, carbon rails","Cannondale SAVE Carbon, 25.4 x 350mm (44-56), 400mm (58-61)","48, 51, 54, 56, 58, 61",7.2 kg / 15.9 lbs (56cm),NA,NA,NA,NA,NA,NA,NA
Road,Endurance Road,d785e3b8-7c0e-4145-9713-6023539b88fa,2,ca589b6a-37b6-4de9-8baf-3be8cf3baf5c,Synapse Hi-Mod Red eTap AXS,"$9,500","Synapse Disc, BallisTec Hi-MOD Carbon, Di2 ready, SAVE, BB30a, flat mount, 12mm thru axle, internal cable routing, removable fender bridge","Synapse Disc, BallisTec Hi-MOD Carbon, SAVE, integrated crown race, 12x100mm thru-axle, internal routing, size-specific design - 44-48: 1 1/8"" steerer, 60mm rake 51-54: 1-1/8"" - 1-1/4"" tapered steerer, 55mm rake 56-61: 1-1/8"" - 1-3/8"" tapered steerer, 45mm rake","HollowGram KNØT 45 SL, Carbon, 20h front, 24h rear, 45mm deep, 21mm ID, tubeless ready","(F) HollowGram KNØT, sealed bearing 12x100 centerlock / (R) HollowGram KNØT, 12x142 centerlock w/ DT Swiss internals, SRAM XDR driver",DT Swiss Aerolite,"Vittoria Corsa, 700 x 28c",Not Included,"SRAM RED Carbon, 46/33",SRAM RED DUB PF30,"SRAM RED, 12-speed","SRAM XG-1290, 10-33, 12-speed","SRAM RED eTap AXS, braze-on",SRAM RED eTap AXS,"SRAM RED eTap AXS HRD, 2x12",All-New Cannondale SAVE Carbon,"Cannondale Grip Bar Tape w/Gel, 3.5mm","All-New Cannondale SAVE Stem, alloy","Synapse Si, 25mm Carbon top cap","SRAM RED eTap AXS HRD, 160/160mm Centerlock rotors",SRAM RED eTap AXS HRD,"Fabric Scoop Shallow Pro, carbon rails","Cannondale SAVE Carbon, 25.4 x 350mm",TBD,NA,NA,NA,NA,NA,NA,NA,NA
Road,Endurance Road,d785e3b8-7c0e-4145-9713-6023539b88fa,3,dc53ebe1-ef45-4c21-b8b0-e0c62b8a6d32,Synapse Hi-Mod Disc Red eTap,"$8,400","Synapse Disc Asymmetric, BallisTec Hi-MOD Carbon, Di2 ready, SAVE, BB30a, flat mount, 12mm thru axle","Synapse Disc Asymmetric, BallisTec  Hi-MOD Carbon, SAVE, integrated crown race, 12x100mm thru-axle,size-specific design - 44-48: 1 1/8"" steerer, 60mm rake 51-54: 1-1/8"" - 1-1/4"" tapered steerer, 55mm rake 56-61: 1-1/8"" - 1-3/8"" tapered steerer, 45mm rake","Cannondale HollowGram Si, Carbon Clincher Disc, 19mm inner, 35mm deep, tubeless ready","Cannondale HollowGram Sealed Bearing, straight pull, 12x100 front, 12x142 rear w/ DT Swiss internals","Double-butted, Stainless","Vittoria Corsa, 700 x 28c",Not Included,"SRAM RED Carbon, 50/34",Cannondale Alloy PressFit30,"SRAM PC-1170, 11-speed","SRAM Force, 11-32, 11-speed","SRAM RED eTap, braze-on","SRAM RED eTap, Mid cage","SRAM RED eTap HRD, 2x11",Cannondale Escape Hanger Carbon,"Cannondale Grip Bar Tape w/Gel, 3.5mm","Cannondale C1 Ultralight, 7050 Alloy, 31.8, 7-degree, Integrated Garmin mount","Synapse Si, 25mm Carbon top cap","SRAM RED hydro disc, 160/160mm Centerline rotors",SRAM RED eTap HRD,"Fabric Scoop Shallow Pro, carbon rails","Cannondale SAVE Carbon, 25.4 x 350mm (44-56), 400mm (58-61)","48, 51, 54, 56, 58, 61",706 kg / 16.8 lbs (56cm),NA,NA,NA,NA,NA,NA,NA
Road,Endurance Road,d785e3b8-7c0e-4145-9713-6023539b88fa,4,7e9c4575-58ea-4c19-84e1-c1b20a628d47,Synapse Hi-Mod Disc Dura-Ace,"$6,850","Synapse Disc Asymmetric, BallisTec Hi-MOD Carbon, Di2 ready, SAVE, BB30a, flat mount, 12mm thru axle","Synapse Disc Asymmetric, BallisTec  Hi-MOD Carbon, SAVE, integrated crown race, 12x100mm thru-axle,size-specific design - 44-48: 1 1/8"" steerer, 60mm rake 51-54: 1-1/8"" - 1-1/4"" tapered steerer, 55mm rake 56-61: 1-1/8"" - 1-3/8"" tapered steerer, 45mm rake","Cannondale HollowGram Si, Carbon Clincher Disc, 19mm inner, 35mm deep, tubeless ready","Cannondale HollowGram Sealed Bearing, straight pull, 12x100 front, 12x142 rear","Double-butted, Stainless","Vittoria Corsa, 700 x 28c",Not Included,"Cannondale HollowGram Si, BB30a w/ OPI SpideRing, 50/34",Cannondale Alloy PressFit30,"Shimano HG701, 11-speed","Shimano Ultegra, 11-30, 11-speed","Shimano Dura-Ace, braze-on",Shimano Dura-Ace,"Shimano Dura-Ace hydro disc, 2x11",Cannondale Escape Hanger Carbon,"Cannondale Grip Bar Tape w/Gel, 3.5mm","Cannondale C1 Ultralight, 7050 Alloy, 31.8, 7-degree, Integrated Garmin mount","Synapse Si, 25mm Carbon top cap","Shimano Dura-Ace hydro disc, 160/140mm RT800 rotors",Shimano Dura-Ace hydro disc,"Fabric Scoop Shallow Race, ti rails","Cannondale SAVE Carbon, 25.4 x 350mm (44-56), 400mm (58-61)","48, 51, 54, 56, 58, 61",7.5 kg / 16.6 lbs (56cm),NA,NA,NA,NA,NA,NA,NA
Road,Endurance Road,d785e3b8-7c0e-4145-9713-6023539b88fa,5,d69fcafd-a499-491c-83c7-8cd948909f67,Synapse Carbon Disc Red eTap,"$6,300","Synapse Disc Asymmetric, BallisTec Carbon, Di2 ready, SAVE, BB30a, flat mount, 12mm thru axle","Synapse Disc Asymmetric, BallisTec Carbon, SAVE, integrated crown race, 12x100mm thru-axle, size-specific design - 44-48: 1 1/8"" steerer, 60mm rake 51-54: 1-1/8"" - 1-1/4"" tapered steerer, 55mm rake 56-61: 1-1/8"" - 1-3/8"" tapered steerer, 45mm rake","Fulcrum Racing 500 DB, Alloy clincher, 26mm deep","Fulcrum Racing 500 DB, 12x100 front, 12x142 rear",Fulcrum Racing 500 DB,"Vittoria Rubino Pro, 700 x 28c",Not Included,"Quarq Prime Carbon, 50/34",Cannondale Alloy PressFit30,"SRAM PC-1170, 11-speed","SRAM Force, 11-32, 11-speed","SRAM RED eTap, braze-on","SRAM RED eTap, Mid cage","SRAM RED eTap HRD, 2x11",Cannondale Escape Hanger Carbon,"Cannondale Grip Bar Tape w/Gel, 3.5mm","Cannondale C1 Ultralight, 7050 Alloy, 31.8, 7-degree, Integrated Garmin mount","Synapse Si, 25mm Carbon top cap","SRAM RED hydro disc, 160/160mm Centerline rotors",SRAM RED eTap HRD,"Fabric Scoop Shallow Elite, cro-mo rails","Cannondale SAVE Carbon, 25.4 x 350mm (44-56), 400mm (58-61)","48, 51, 54, 56, 58, 61",7.9 kg / 17.4 lbs (56cm),NA,NA,NA,NA,NA,NA,NA
Road,Endurance Road,d785e3b8-7c0e-4145-9713-6023539b88fa,6,e16d6c96-bbee-4c63-b70e-35b7276a39a1,Synapse Carbon Disc Dura-Ace,"$5,250","Synapse Disc Asymmetric, BallisTec Carbon, Di2 ready, SAVE, BB30a, flat mount, 12mm thru axle","Synapse Disc Asymmetric, BallisTec Carbon, SAVE, integrated crown race, 12x100mm thru-axle, size-specific design - 44-48: 1 1/8"" steerer, 60mm rake 51-54: 1-1/8"" - 1-1/4"" tapered steerer, 55mm rake 56-61: 1-1/8"" - 1-3/8"" tapered steerer, 45mm rake","Fulcrum Racing 500 DB, Alloy clincher, 26mm deep","Fulcrum Racing 500 DB, 12x100 front, 12x142 rear","Fulcrum double- butted, Stainless","Vittoria Rubino Pro, 700 x 28c",Not Included,"Cannondale HollowGram Si, BB30a w/ OPI SpideRing, 50/34",Cannondale Alloy PressFit30,"Shimano HG701, 11-speed","Shimano Ultegra, 11-30, 11-speed","Shimano Dura-Ace, braze-on",Shimano Dura-Ace,"Shimano Dura-Ace hydro disc, 2x11",Cannondale Escape Hanger Carbon,"Cannondale Grip Bar Tape w/Gel, 3.5mm","Cannondale C1 Ultralight, 7050 Alloy, 31.8, 7-degree, Integrated Garmin mount","Synapse Si, 25mm Carbon top cap","Shimano Dura-Ace hydro disc, 160/140mm RT800 rotors",Shimano Dura-Ace hydro disc,"Fabric Scoop Shallow Elite, cro-mo rails","Cannondale SAVE Carbon, 25.4 x 350mm (44-56), 400mm (58-61)","48, 51, 54, 56, 58, 61",7.8 kg / 17.1 lbs (56cm),NA,NA,NA,NA,NA,NA,NA
Road,Endurance Road,d785e3b8-7c0e-4145-9713-6023539b88fa,7,c9e5cfbc-7521-4961-a2d8-0e45e0378138,Synapse Carbon Disc Ultegra Di2,"$4,400","Synapse Disc Asymmetric, BallisTec Carbon, Di2 ready, SAVE, BB30a, flat mount, 12mm thru axle","Synapse Disc Asymmetric, BallisTec Carbon, SAVE, integrated crown race, 12x100mm thru-axle, size-specific design - 44-48: 1 1/8"" steerer, 60mm rake 51-54: 1-1/8"" - 1-1/4"" tapered steerer, 55mm rake 56-61: 1-1/8"" - 1-3/8"" tapered steerer, 45mm rake","Fulcrum Racing 600 DB, Alloy clincher, 26mm deep","Fulcrum Racing 600 DB, 12x100 front, 12x142 rear",Fulcrum Stainless Steel,"Vittoria Rubino Pro, 700 x 28c",Not Included,"Cannondale Si, BB30a w/ FSA rings, 50/34",Cannondale Alloy PressFit30,"Shimano HG601, 11-speed","Shimano 105, 11-34, 11-speed","Shimano Ultegra Di2, braze-on",Shimano Ultegra Di2 GS,"Shimano Ultegra Di2 hydro disc, 2x11","Cannondale C2, 7050 Alloy, Compact","Cannondale Grip Bar Tape w/Gel, 3.5mm","Cannondale C2, 6061 Alloy, 31.8, 7-degree","Synapse Si, 25mm Alloy top cap","Shimano Ultegra hydro disc, 160/160mm RT70 rotors",Shimano Ultegra Di2 hydro disc,"Fabric Scoop Shallow Sport, steel rails","Cannondale C2, UD Carbon, 25.4 x 350mm (44-56), 400mm (58-61)","48, 51, 54, 56, 58, 61",8.4 kg / 18.5 lbs (56cm),NA,NA,NA,NA,NA,NA,NA
Road,Endurance Road,d785e3b8-7c0e-4145-9713-6023539b88fa,8,1da97dd3-3983-470d-8ad8-32309376f4be,Synapse Carbon Disc Ultegra SE,"$3,675","Synapse Disc Asymmetric, BallisTec Carbon, Di2 ready, SAVE, BB30a, flat mount, 12mm thru axle","Synapse Disc Asymmetric, BallisTec Carbon, SAVE, integrated crown race, 12x100mm thru-axle, size-specific design - 44-48: 1 1/8"" steerer, 60mm rake 51-54: 1-1/8"" - 1-1/4"" tapered steerer, 55mm rake 56-61: 1-1/8"" - 1-3/8"" tapered steerer, 45mm rake","WTB KOM Light i21 TCS, 28h, tubeless ready","Formula CL-712 front, RXC-142S rear","Double-butted, Stainless","WTB Exposure TCS, 700 x 30c, tubeless ready",Not Included,"Cannondale HollowGram Si, BB30a w/ OPI SpideRing, 50/34",Cannondale Alloy PressFit30,"Shimano HG601, 11-speed","Shimano Ultegra, 11-34, 11-speed","Shimano Ultegra, braze-on",Shimano Ultegra GS,"Shimano Ultegra hydro disc, 2x11","Cannondale C1, 7050 Alloy, Compact","Cannondale Grip Bar Tape w/Gel, 3.5mm","Cannondale C1 Ultralight, 7050 Alloy, 31.8, 7-degree, Integrated Garmin mount","Synapse Si, 25mm Carbon top cap","Shimano Ultegra hydro disc, 160/140mm RT81 rotors",Shimano Ultegra hydro disc,"Fabric Scoop Radius Elite, cro-mo rails","Cannondale SAVE Carbon, 25.4 x 350mm (44-56), 400mm (58-61)","48, 51, 54, 56, 58, 61",8.3 kg / 18.2 lbs (56cm),NA,NA,NA,NA,NA,NA,NA
Road,Endurance Road,d785e3b8-7c0e-4145-9713-6023539b88fa,9,c4f4a279-b054-4594-9b23-956bdff325eb,Synapse Carbon Disc Ultegra,"$3,150","Synapse Disc Asymmetric, BallisTec Carbon, Di2 ready, SAVE, BB30a, flat mount, 12mm thru axle","Synapse Disc Asymmetric, BallisTec Carbon, SAVE, integrated crown race, 12x100mm thru-axle, size-specific design - 44-48: 1 1/8"" steerer, 60mm rake 51-54: 1-1/8"" - 1-1/4"" tapered steerer, 55mm rake 56-61: 1-1/8"" - 1-3/8"" tapered steerer, 45mm rake","Fulcrum Racing 600 DB, Alloy clincher, 26mm deep","Fulcrum Racing 600 DB, 12x100 front, 12x142 rear",Fulcrum Stainless Steel,"Vittoria Rubino Pro, 700 x 28c",Not Included,"Cannondale Si, BB30a w/ FSA rings, 50/34",Cannondale Alloy PressFit30,"Shimano HG601, 11-speed","Shimano 105, 11-34, 11-speed","Shimano Ultegra, braze-on",Shimano Ultegra GS,"Shimano Ultegra hydro disc, 2x11","Cannondale C3, 6061 Alloy, Compact","Cannondale Grip Bar Tape w/Gel, 3.5mm","Cannondale C3, 6061 Alloy, 31.8, 7-degree","Synapse Si, 25mm Alloy top cap","Shimano Ultegra hydro disc, 160/140mm RT70 rotors",Shimano Ultegra hydro disc,"Fabric Scoop Shallow Sport, steel rails","Cannondale C3, 6061 Alloy, 25.4 x 350mm (44-56), 400mm (58-61)","48, 51, 54, 56, 58, 61",8.4 kg / 18.6 lbs (56cm),NA,NA,NA,NA,NA,NA,NA
Road,Endurance Road,d785e3b8-7c0e-4145-9713-6023539b88fa,10,eb57c4d0-e62e-42cb-b067-79f47571a5bc,Synapse Carbon Disc 105 SE,"$2,850","Synapse Disc Asymmetric, BallisTec Carbon, Di2 ready, SAVE, BB30a, flat mount, 12mm thru axle","Synapse Disc Asymmetric, BallisTec Carbon, SAVE, integrated crown race, 12x100mm thru-axle, size-specific design - 44-48: 1 1/8"" steerer, 60mm rake 51-54: 1-1/8"" - 1-1/4"" tapered steerer, 55mm rake 56-61: 1-1/8"" - 1-3/8"" tapered steerer, 45mm rake","WTB STP i19 TCS, 28h, tubeless ready","Formula RX-512 12x100 front, RX-142 12x142 rear","Stainless Steel, 14g","WTB Exposure TCS, 700 x 30c, tubeless ready",Not Included,"Cannondale Si, BB30a w/ FSA rings, 50/34",Cannondale Alloy PressFit30,"Shimano HG601, 11-speed","Shimano 105, 11-34, 11-speed","Shimano 105, braze-on",Shimano 105 GS,"Shimano 105, 2x11","Cannondale C3, 6061 Alloy, Compact","Cannondale Grip Bar Tape w/Gel, 3.5mm","Cannondale C3, 6061 Alloy, 31.8, 7-degree","Synapse Si, 25mm Alloy top cap","Shimano 105 7070 hydro disc, 160/160mm RT56 rotors",Shimano 105 7020 hydro disc,"Fabric Scoop Radius Sport, steel rails","Cannondale C3, 6061 Alloy, 25.4 x 350mm (44-56), 400mm (58-61)","48, 51, 54, 56, 58, 61",9.2 kg / 20.3 lbs (56cm),NA,NA,NA,NA,NA,NA,NA
